"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","05-2006",580,15,0,1,0,1,2,13,0,0,15,11,8,13,5
"el_pais","06-2006",254,5,0,0,0,3,0,2,0,1,5,3,3,5,1
"el_pais","07-2006",401,3,2,0,0,2,0,1,0,0,3,2,3,2,1
"el_pais","08-2006",3332,49,9,1,3,18,2,9,1,9,49,32,26,41,13
"el_pais","09-2006",3504,35,3,0,0,14,1,3,0,4,35,26,23,30,14
"el_pais","10-2006",3481,25,4,0,1,10,2,5,0,2,25,17,14,21,8
"el_pais","11-2006",3577,38,11,1,1,14,0,7,0,5,38,26,13,34,7
"el_pais","12-2006",3564,29,4,2,0,11,1,1,0,6,29,13,8,19,2
"el_pais","01-2007",3367,23,1,1,0,7,4,2,1,1,23,9,9,13,2
"el_pais","02-2007",3139,18,4,1,1,7,2,4,0,0,18,11,8,16,4
"el_pais","03-2007",1431,17,3,3,0,5,1,2,0,2,17,11,9,13,7
"el_pais","04-2007",144,1,0,0,0,0,0,0,0,0,1,1,0,1,1
"el_pais","05-2007",98,2,0,0,0,0,0,0,0,0,2,2,2,2,0
"el_pais","06-2007",171,1,1,0,0,0,0,0,0,1,1,1,1,1,0
"el_pais","07-2007",215,3,1,0,0,0,0,1,0,0,3,0,0,2,0
"el_pais","08-2007",537,8,3,1,0,6,1,0,2,0,8,6,4,5,1
"el_pais","09-2007",818,8,3,0,0,5,1,2,0,3,8,6,5,7,4
"el_pais","10-2007",909,12,3,0,0,6,1,3,0,3,12,8,8,9,2
"el_pais","11-2007",1177,27,7,2,2,7,0,1,1,1,27,20,10,25,5
"el_pais","12-2007",1131,22,5,0,0,8,7,4,0,2,22,19,15,19,9
"el_pais","01-2008",1063,15,4,0,0,6,0,4,1,3,15,9,8,13,5
"el_pais","02-2008",1105,22,6,1,0,7,0,2,0,2,22,13,7,18,3
"el_pais","03-2008",1153,21,4,2,0,10,0,2,0,3,21,15,10,19,6
"el_pais","04-2008",1111,19,8,1,0,11,0,5,0,0,19,17,11,17,4
"el_pais","05-2008",1143,17,5,0,0,7,1,1,0,1,17,11,9,16,0
"el_pais","06-2008",1374,27,11,0,2,14,0,5,0,0,27,23,16,26,11
"el_pais","07-2008",2858,21,4,0,2,13,0,3,1,3,21,15,10,19,3
"el_pais","08-2008",711,2,1,0,0,0,0,1,0,0,2,2,1,2,1
"el_pais","09-2008",298,3,0,0,0,1,0,1,0,0,3,1,1,2,1
"el_pais","10-2008",1526,56,14,3,0,14,7,16,4,6,56,43,22,42,20
"el_pais","11-2008",286,5,1,0,0,1,0,0,0,0,5,2,1,2,1
"el_pais","12-2008",218,6,1,0,0,0,0,4,0,5,6,1,5,6,4
"el_pais","01-2009",147,1,0,0,0,0,0,1,0,0,1,1,0,1,0
"el_pais","02-2009",119,1,0,0,0,1,0,1,0,0,1,1,1,1,1
