"newspaper","date","epu_news_std","pol_impositiva_std","pol_gasto_gub_std","pol_fiscal_std","pol_monetaria_std","pol_salud_std","pol_reg_financiera_std","pol_regulacion_std","pol_deuda_crisis_std","pol_prog_derechos_std","pol_comercial_std","otras_politicas_std","autoridades_intls_std"
"busqueda","08-2015",6.391976797678368,6.1705210294081265,2.0931262983273906,2.6383987417332246,5.7357915495566365,1.5271928537179602,2.7947766656526194,3.2966584446552636,6.391976797678368,4.531370901429924,3.9232750541691632,5.127472675106898,1.224982567087148
"busqueda","09-2015",6.809900402735473,6.857548113094805,2.492330798523852,3.14159850175451,5.122298381240657,0.8082051528266868,1.5846671815556088,2.2898181722541064,6.809900402735473,4.496334528480724,4.449074803696989,5.851001357998915,1.7503359154461724
"busqueda","10-2015",7.233026376320258,6.699422831928824,1.7442719152728254,3.693758238426515,4.062852347602617,2.5453214228632666,0.3992538093789456,2.0604115279095394,7.233026376320258,5.016874926583131,3.362807189287854,5.928640280592351,1.4699790805045776
"busqueda","11-2015",6.22376688194999,5.994220428567894,2.0931262983273906,2.374558867559902,3.8238610330377583,2.0362571382906136,1.5970152375157824,0.41208230558190795,6.22376688194999,3.8840322012256494,2.802339324406545,4.967239154009808,1.4699790805045776
"busqueda","12-2015",6.372187395827972,6.533492854667428,2.5856266038161886,3.0419185492924234,5.117225794212294,1.2576882324736145,2.3015807834786273,0.6787237974290248,6.372187395827972,4.797922130925802,3.2309323975510753,5.278280694962984,3.2281893532649546
"busqueda","01-2016",5.180865404434046,5.055571712370245,1.1115222411807524,1.6812968533527584,4.3150293898676075,1.081322756195705,0.8480701606118293,2.1882991399866834,5.180865404434046,3.4375917183261495,3.869160915490968,3.9141181498337576,1.821422354924063
"busqueda","02-2016",8.197571842458935,8.07635284102279,1.0200678795646145,1.5429623021275314,4.192936227682225,1.4885297434972524,1.5565844720090538,3.614848579345091,8.197571842458935,5.836291002791073,5.462788050108962,6.87178695540434,2.1491466303579583
"busqueda","03-2016",6.062714834976012,5.584102718811893,1.5240730493731356,1.7289932179868792,3.13231169727561,1.6679978685997578,1.744257777144897,1.8003028385706048,6.062714834976012,4.065378858375074,2.4485688281339457,5.075197909358911,1.3379242222086583
"busqueda","04-2016",6.558057473967147,5.670630718164937,1.3600905060861526,1.5429623021275314,4.891758932295929,2.480882905828754,0.0,2.0082492107472727,6.558057473967147,4.258915056090784,3.277672830065377,4.997663240294066,1.9103525603181855
"busqueda","05-2016",5.417898462153251,5.323586770469757,1.7556723853072886,1.0622572711814813,2.405533493005779,1.5371745063566398,2.4111798684061814,1.659102615937616,5.417898462153251,2.932063524454657,1.9744586873923238,4.032019975318946,1.972782382550806
